City,Location_Name,Description
Chicago,"Allstate Arena Rosemont, Illinois","The Allstate Arena is located in Rosemont, Illinois, which is part of the Chicago area. The arena is mostly a sports facility for the Chicago Wolves hockey club, DePaul University men's basketball, and Chicago Rush Arena football team. The exact location of the arena is 6920 North Mannheim Road, which is adjacent to the O'Hare International Airport.Originally the structure was called the Rosemont Horizon. It was supposed to be the home of the WHA Chicago Cougars. Unfortunately the WHA closed before the ground breaking on the arena began in 1977. To fund the arena it was necessary for Rosemont to offer $19 million in bonds. They financed contracts with this money. Araserv, Ringling bros. and MFG International all had exclusive contracts at the arena. In 1979 an accident with construction workers ended five lives and injured 16 others. The incomplete roof collapsed.In 1999 the town no longer wanted to support the arena, so they sold it to the Allstate Insurance Company. They paid $20 million to renovate the arena and change its name. The arena is considered a cornerstone for the WWE. It has hosted numerous Wrestle Mania events. They have also filmed other pay per view events at the arena like the 1989 Survivor Series, Judgement Day 1998 and 2009. The Great Midwest Conference men's basketball tournament and NCAA basketball tournament has been hosted at the arena.Over the years there have been hundreds of concerts at the Allstate Arena. For example Fleetwood Mac, Journey, Mariah Carey, Iron Maiden, Michael Jackson, Bon Jovi, Paul McCartney, Madonna, Paula Abdul, and Dave Matthews Band have all played at the arena. More recent events and events to come include American Idols Live, Ricardo Arjona, WWE Monday Night, Britney Spears, Wisin Y Yandel and Pink. All ticket sales for events go through ticketmaster or at the Allstate Arena Box Office.The box office is open Monday through Friday 11am to 7pm, and Saturday noon to 5pm. The box office is also open three hours prior to events and one hour after the event has started as long as tickets are available. The arena has seating all around with two stationary levels. There can be seating on the floor of the arena when concerts are being held there. The arena can be turned into a concert hall, ice rink, basketball court, or indoor football.Parking is plentiful at the Allstate Arena. There is parking close to each of the entrances though there is not a parking garage. Parking fees range from $11 to $20 for most events. Buses and Limos are charged extra. Parking is available two hours before an event begins. Close to the arena are places to eat and stay. The hotels include Aloft, Best Western, Candlewood Suites, Comfort Inn, Courtyard by Marriott, and the DoubleTree Hotel. There are more hotels than those listed here. Restaurants around the area are Abruzzi, Barnaby's, Bella Sera, Capital Grille, Giannotti Italian Steakhouse, Gold Coast Dogs, and Harry Caray's. There are about a hundred restaurants close by."
Chicago,"Andersonville Neighborhood in Chicago, Illinois","With community roots extending back into the 19th century, Andersonville began when immigrant Swedish farmers started moving northward into what was originally a distant Chicago suburb. During the 1850's, the area north of Foster and east of Clark was a cherry orchard, and families had just begun moving into the outskirts of the city. The first school, Andersonville School, was constructed in 1854, at the corner of the two thoroughfares, and it served as the primary school in the community until 1908.After the Great Chicago Fire of 1871, wooden homes and buildings were outlawed in Chicago. The Swedish immigrants who could not afford to construct homes of stone or brick were forced to move to the city's north limits. The immigrants continued to arrive in Andersonville throughout the beginning of the 20th century, and settled into the newly constructed homes around Clark Street. Most of the community was dominated by Swedish businesses, from the delicatessens to hardware stores, shoe stores and blacksmiths and bakeries. Local churches such as Ebenezer Luther Church and St. Gregory's Roman Catholic Church were also built entirely by Swedish immigrants and reflected the religion of the new arrivals.Like many other European-American ethnic groups, the Swedish immigrants began to move to the suburbs during the Great Depression and post-war period, and the neighborhood began to experience decline. With growing concern about the deterioration of commercial situations, the Uptown Clark Street Business Association renewed its commitment to Swedish heritage by renaming itself as the Andersonville Chamber of Commerce. Andersonville was rededicated on October 17th, 1964, with Chicago Mayor Richard M. Daley and Illinois Governor Otto Kerner attending the ceremony. Around the same time, the annual Swedish summer celebration morphed into ""Midsommarfest,'' which has since become one of Chicago's most popular street festivities.During the late 1980's, the Andersonville neighborhood began to experience a period of revival as professionals rediscovered lovely homes and the close proximity to downtown Chicago made it all the more appealing. New stores, gift shops and restaurants opened and Clark Street had a new commercial vitality and diversity.Today, Andersonville contains the largest concentrated areas of Swedish culture in America and is home to a diverse community of residents and businesses. Andersonville is considered to be one of the ""hottest'' neighborhoods in Chicago, Illinois and enjoys nationwide fame for its unique commercial district. The locally owned businesses are a crucial part of the vitality and life of the neighborhood, and provide untold economical benefits to the community.Communities all over the America now seek to emulate Andersonville as a model of a thriving and multicultural urban neighborhood. With its rich mixture of ethnicities and history, Andersonville has only grown in popularity over the years and continues to maintain its commitment to preserving its Swedish history and diverse community."
Chicago,Albany Park Neighborhood Part of Colorful Chicago History,"One of Chicago's 77 designated ""community areas'', Albany Park sits in the north central portion of the city and has been dubbed one of the most ethnically diverse regions in the United States.The area that is now Albany Park began with the purchase of 10 acres by entrepreneur Richard Rusk in 1868. Rusk opened a horse racing track there, which attracted city-dwellers to the area. They'd come to enjoy not only the sport but also the country-like setting they found near Rusk's property. The area continued to grow in popularity with city residents and was eventually annexed by the city in 1889, becoming part of Jefferson Township.In 1893, four wealthy and well-known Chicagoans purchased more than 600 acres near the Rusk tract and eventually brought transportation lines to the area. The four men, streetcar entrepreneur DeLancy Louderback, Illinois Trust and Savings Bank founder John Mitchell, Northwestern Elevated Railroad owner Clarence Buckingham, and transportation magnate Charles T. Yerkes, decided to call the area Albany Park, naming it in honor of Louderback's hometown of Albany, NY.The act of bringing public transportation to the area had a huge impact on Albany Park's commercial and residential growth. Streetcars came into the community around 1896 and the Ravenswood Elevated Train had reached Albany Park by 1907. In addition, streets were widened and straightened. This initiated a building boom that included not only numerous new homes but also large department stores, small shops, and entertainment venues, such as theaters. More than 7,000 people lived in Albany Park at the time of the 1910 census. Twenty years later, the community's population had increased more than seven-fold to 55,000.In the early years of the twentieth century, Albany Park became a haven for immigrants hoping to make a home and a living in the city. Germans and Swedes were the first to arrive, followed by large numbers of Russian Jews. Throughout World War II, Chicago's Albany Park was largely known as a Jewish neighborhood, home to numerous synagogues serving the population's religious needs.However, the years after World War II brought declining population to the area as many of the Jewish families moved to the suburbs. Throughout the 50s, 60s, and 70s, the community saw a marked decline in property values, and by the mid-70s, many homes and commercial locations stood empty and became dilapidated, attracting drug dealers and other unsavory characters to the area.Finally, in 1978, the city government along with the North River Commission and the Lawrence Avenue Development Corporation intervened in an attempt to revitalize the area. Thanks to its Facade Rebate Program, property values continued to increase throughout the 1980s and 1990s.Today, Albany Park has once again become a popular entry port for immigrants, this time from Asia and Latin America as well as the parts of Eastern Europe and the Middle East. The neighborhood is often referred to as the ""Koreatown'' of Chicago; however, many shops and restaurants featuring a wide variety of other ethnic specialties have sprung up there, especially in the last decade. As a result of the large numbers of immigrants, the Chicago Public Schools estimates that approximately 40 languages are spoken in Albany Park's schools.The community of Albany Park is also well-known for its strong Democratic tendencies. Election results in the 2004 presidential election show nearly 98 percent of the voters in Albany Park precincts casting their vote for the Democratic candidate."
Chicago,The United Center Hosts Chicago Sports and Much More,"Chicago's enormous United Center was the brainchild of William Wirtz, owner of Chicago's NHL franchise Blackhawks, and Jerry Reinsdorf, majority owner and Team Chairman of the NBA Chicago Bulls. In the 1980s, the men sought a new arena for their teams, one that would replace the famous Chicago Stadium, known for its ""roar'' - an incessant noise that accompanied every event that took place there.The men proposed the idea in 1988 and construction on the new arena eventually began in 1992. It opened for business in 1994 and United Airlines purchased the naming rights until 2014 at a cost of $1.8 million per year.The owners of The United Center have proclaimed it to be the largest arena in the U.S. in physical size. (Other arenas, however, have a larger seating capacity.) This center for Chicago hockey and basketball covers approximately 960,000 square-feet and is situated on 46 acres in Chicago's Near West Side community. On the exterior, fans of the old arena say it bears a remarkable resemblance to Chicago Stadium and, acoustically, engineers even tried to recreate the infamous ""roar''. An electronic organ has replaced the old vintage pipe organ that graced the former arena, but it still plays during Blackhawks games, much to the delight of fans.Seating capacity at The United Center varies according to event. It seats 21,711 for basketball games, 20,500 for hockey, and as many as 23,500 for concerts and other events, depending on configuration of the stage.Numerous top-name entertainers have appeared onstage at United Center since its opening in 1994, including The Rolling Stones, Madonna, Bruce Springsteen, Beyonce, Brittney Spears, Celine Dion, Coldplay, and many others. In addition, the arena has played host to many collegiate sporting events including a number of NCAA tournaments. Family events such as circuses or ice skating shows have also made stops at the arena.United Center is sometimes referred to as ""The House that Jordan Built'' in reference to Bulls star Michael Jordan, who was a member of the team from 1984 to 1999. By far the Bulls most famous team member and often acclaimed as one of the world's best basketball players, Jordan is honored at the United Center with a statue located on the east side of the arena. It stands 17 feet tall from the base to the top of Jordan's head and was cast from 2,000 pounds of bronze. It was unveiled in November 1994 at the time his jersey was retired. The base reads: ""The best there ever was. The best there ever will be.''"
Chicago,Lincoln Park Zoo Brings Wildlife to the City of Chicago,"Polar bear at Lincoln Park Zoo, ChicagoOpen 365 days per year and always free to visitors, Chicago's Lincoln Park Zoo has welcomed millions and millions of visitors since its opening in 1868. Situated just north of the city but still within view of all of Chicago's skyscrapers, this zoo is far from old-fashioned - despite its age - continually updating its facilities in the hopes of providing a top-notch wildlife adventure for locals and visitors alike.The park is expansive yet welcoming, offering tree- and flower-lined walkways, wide paths, and attractive structures that combine original Georgian Revival architecture with more-recently-added contemporary buildings. Animal habitats closely resemble their native domiciles.A large variety of animal species live at Lincoln Park Zoo including 80 species of mammals ranging from typical zoo animals like lions and tigers to much more exotic offerings, including a number of unique species from Africa and Asia. Children are especially charmed by the Small Mammal House, which features such animals as tiny wallabies from Australia and white-faced primates from the jungles of South America. The Regenstein Center for African Apes is a favorite with families and guests also enjoy watching the zoo's polar bears via a huge, underwater viewing area at the McCormick Bear Habitat.More than 75 species of birds are on display at the McCormick Bird House, which is home to about 300 colorful winged creatures. This structure, built in 1904, includes traditional caged exhibits as well as a tropical free-flight area for many of the birds.In addition to birds and mammals, the Lincoln Park Zoo displays approximately 70 species of reptiles, fish, and amphibians - about 2,300 animals in all. They make their homes in various parts of the zoo, including the flamingo habitat, penguin and seabird house, and the small reptile house.The Pritzker Family Children's Zoo is a North American animal exhibit that allows children to feel ""At Home in the Woods.'' This is not a petting zoo; however, the zoo does offer kids the opportunity to interact with animals at their Farm-in-the Zoo area. Sponsored by John Deere, families that visit this part of Lincoln Park Zoo can come face-to-face with cows, chickens, sheep, and goats, and even participate in milking or feeding.Chicago's Lincoln Park Zoo also boasts an impressive Conservation and Research Department, which employs zoologists and other scientists who conduct research to improve animal management and wildlife conservation both inside and outside the zoo.The zoo sponsors a number of events for visitors of all ages including classes, lectures, and demonstrations. During the Christmas holiday season, attendance explodes as Lincoln Park Zoo presents its annual ZooLights, which bathes the entire zoo in twinkling white and colored lights. Various holiday events also accompany ZooLights, including visits with Santa, dinners, crafting, and train rides."
Chicago,"The Art Institute In Chicago, Illinois","Fountains outside the Art Institute, Michigan Avenue, ChicagoThe Art Institute of Chicago was founded in 1879, to serve as both an art school and a museum. The school was first located on the corner of State and Monroe Streets, then relocated to its present site of Michigan Avenue and Adams Street in 1893. The museum portion of the building was home to a collection of plaster casts, this was to demonstrate the schools vision of promoting all forms of art and combine it with education. Today the museum holds some 5,000 years of art from around the world representing the human expression in art. The school continues to enjoy its reputation of being one of the best art schools in the country.The Art Institute was founded 1879, and named ""The Chicago Academy of Fine Arts''. When the school needed room for expansion and growth, the name was changed. The city gave the institute the land on which it is now currently located. The building was designed by the Boston firm of Sheply, Rutan and Coolidge, and it officially reopened in 1893.Mrs. Henry Field, gifted the institution with its first collection of French paintings. The Fullerton Auditorium was added in 1898 and was followed by the Ryerson Library in 1901. By purchasing items from the Armory Show in1913, which the school hosted, the institute was able to secure a large collection of modern art. There were memorials of two soldiers who were killed in World War I, the George Alexander McKinlock, Jr. Memorial Park in 1924, and the Kenneth Sawyer Goodman Theater in 1925.It was also during this time that the school received generous bequeaths and donations to expand their museums art collection. The holdings of Impressionist and Post-Impressionist paintings were significantly enhanced in 1924, by a bequeath from Bertha Honore Palmer.  In 1925, the Helen Birch Bartlett Memorial Collection was added. Perhaps the single most comprehensive donation in its history came from Martin A. Ryerson, whose collection contained American and European paintings dating back to the 15th century, textiles, Asian artwork and various prints and drawings.During the 1950's expansion of the museum included, the addition of the B.F. Ferguson Memorial Building. While the 1970's showed a sharp increase in students and tourists who visited the museum. A dramatic increase in the contemporary art collection led the institute to expand and build the Daniel F. and Ada L. Rice Building in 1988. There were also various other improvements made to the classrooms and museums throughout the past 20 years. Today the Art Institute continues to be one of Americas most prestigious art schools."
Chicago,"Bobby's Bike Hike in Chicago, Illinois","Chicago, Illinois is the home of Bobby's Bike Hike, just named the best bicycling city in the United States. The bike hike began in the summer of 2002 and since that time has offered biking tourists the opportunity to view the sights and sounds of Chicago, from a totally unique perspective. There are several types of bicycles available for rental that will accommodate any fitness level, and informative tour guides that take guests all around the city's most popular sites and provide an entertaining commentary.The easiest bike tour offered is the Lakefront Neighborhood Tour. The bike tour is designed for those who have a moderate fitness level and is available every day of the week, with the exception of Sunday. The tour takes guests past beaches, quiet neighborhoods and the city park. Highlights include the Gold Coast Mansion, Playboy Mansion, Oprah Winfrey's home, Lincoln Park Zoo and the Lakefront. The tour is open daily Monday through Friday, and a Saturday tour has been added as well. Reservations are recommended; the tour is the length of seven miles long and lasts for a period of three hours.The Green Chicago Tour is a romp through lakefront parks and past many of the city's major tourist attractions. Tours are offered at 10 a.m. daily, Monday through Friday. Guests will cycle past Soldiers Field, Buckingham Fountain, Navy Pier, Millennium Park and Shedd Aquarium. Tour guides will take visitors past the lakefront, where the 2016 Olympic Games will be held. Guests who go on this tour can expect it to be relatively easy and quite enjoyable, the length is seven miles and three hours long, and again reservations are strongly encouraged.During the fall season, Bobby's Bike Hike offers a downtown tour called the Fall Fireworks Night Tour. Guides will take cyclists past Millennium Park, Museum Campus and Buckingham Fountain. The tour commences every evening at 7 p.m., Monday through Friday. Guests will get the chance to view the splendor of the city in the evening and on Wednesday and Saturday's, get to experience the fireworks off of Navy Pier. Reservations are recommended and the tour is perfect for people of all ages and fitness levels, it encompasses eight miles in length and takes around three hours to complete.On the last Friday of every month, thousands of bikers gather to take over the streets of downtown Chicago. The event is known as the Chicago Critical Mass Ride and begins 5:30 p.m., regardless of the weather or season. The ride begins at Daley Plaza, Dearborn and Washington, the ride is free and extremely fun for people of all ages. Bobby's Bike Hike offers tourists a unique chance to view the city from a memorable perspective and is an interesting way to discover the Windy City."
Chicago,"Cafy Iberico in Chicago, Illinois","Cafy Iberico is located in Chicago, Illinois and is a restaurant well known for regional Spanish dishes. Spanish cuisine is traditional cooking with hundreds of different recipes based around natural ingredients like olive oil, seafood, game, veal, vegetables, sausages and many other things. The restaurant features tapas, which are traditionally a wide variety of Spanish appetizers, which may be served warm or cold. The tapas are usually served family-style which is done to encourage sharing, conversation, and in turn, allows guests to experience a wide variety of food for a moderate price.Cafy Iberico has an extensive menu consisting lunch, dinner and weekly specials. There are choices ranging from Ensalada Rusa a Spanish potato salad with fire-roasted vegetables, to Pinchot De Pollo, a chicken dish with caramelized onions and rice. The dessert menu is very delectable with something for everyone; the restaurant serves everything from rice pudding to poached pears in red wine. The wine menu has over fifty different selections, along with specialty liquors and imported beers.The restaurant has seating for up to 450 people inside the bar and dining room. During the summer, there is an additional dining area set up on an outside patio that can accommodate an additional 140 people. Reservations are strongly recommended for parties of six people and over, the restaurant tends to fill up quickly and it is not unusual to have an extended wait during prime dining hours.Downstairs there are party rooms available to serve anywhere from 20-150 people. Each of the four party rooms has its own unique flair and design scheme. The Sala Marbella party room is done in shades of mauves and cream colors, the tables are decked in pink linens and the wooden tables and chairs are done in rosewood colors. The Bar Picoteo is a more informal party area, featuring high top tables, bar side seating and wine bottles stored overhead. The Sala Medieval party room is a more casual environment done in the style of a Spanish ship complete with exposed ceiling beams and artwork reflecting the ocean and ships. The La Bodega party room is a casual, informal party room complete with a dance floor and bar area.The Deli-Iberico, is the only Spanish deli in Chicago, it is located inside the restaurant and has most of the same items that are featured on the menu. The delicatessen features cheese trays, deli trays, fresh foods, special sausages and hams, oils and vinegars, canned and packaged foods. There are also ceramics, empanadas, chocolates and fine desserts. There is a full staff on deck to assist with any type of party or celebration desired, with over 200 menu choices and seating for up to 500 people. For over 10 years, people in the Chicago area have enjoyed the Cafy Iberico for its unique environment, good food and warm and lively atmosphere, making it the perfect dining experience when visiting Chicago."
Chicago,"Chicago Place - Chicago, Illinois - Large Tower Block Featuring Shops and Restaurants","Chicago Place is a 608 foot building containing offices, shops and restaurants and is located at North Michigan Avenue in Chicago, Illinois. Opening hours are 10am to 7pm Monday to Friday, 10am to 6pm on Saturdays and 12pm to 5pm on Sundays. Chicago Place is managed by Grubb & Ellis Property Solutions Worldwide.The 49 story tower was opened in 1991 with Saks Fifth Avenue as its anchor store, but number of stores has reduced since then with much of the area converted to office space. Above the complex is a further 50 floors containing luxury condominiums. The building was erected during a period of great building investment between 1988 and 2001 with other arrivals being the 900 N. Michigan Avenue building, Crate & Barrel, 676 N. Michigan Avenue and the 600 N. Michigan Avenue buildingThe mall has numerous stores and restaurants located on several levels with the anchor store being Saks Fifth Avenue, which is on level one. The other stores featured on level one are Talbots and Talbots Woman. There are no shops on level two but on level three shoppers will find art and gifts at Russian Creations, whilst fashion items for taller women can be found at Tall Girl.The next floor up has just one store, which is Abby & Yanni Fine Furs & Outwear where visitors will find furs and outwear. The next set of stores are located on level eight, which is also home to the food court. The three shops on this level are a gift vendor called Love From Chicago, Luxury Nails a nail salon for men and women and Time-Us, which sells clocks and watches and does repairs too.There are a few places serving food for visitors at the eight floor food court. Hot snacks and sandwiches can be purchased from Subway, whilst Mexican food can be obtained from Taco Bell Express. Other eateries at the food court include Chicago Dog & Grill, Little Tokyo Express, Panda Express and Great Steak & Potato.North Michigan Avenue is part of what is known as the Magnificent Mile and features many things for visitors to do with many restaurants serving American, Italian, Indian, Brazilian and other national delicacies. A very popular attraction is Chicago's First Lady Architectural Tours, which provides a view of the city's building via a river cruise. There are many museums in the area too including Chicago Children's Museum, Museum of Contemporary Art, McCormick Freedom Museum and Loyola University Museum of Art with the latter two both in North Michigan Avenue.Visitors seeking a little pampering can find Elizabeth Arden Red Door Salon & Spa, Renew Spa, Tiffani Kim Institute and Spa NORDSTROM a short distance from Chicago Place. There are restrooms available at Chicago Place and elsewhere in North Michigan Avenue including at The 900 Shops, Water Tower Place and The Shops at North Bridge. There are numerous places to park in the area including at G.O Parking Inc and Standard Parking."
Chicago,"Chicago Botanic Garden in Chicago, Illinois","The Chicago Botanic Garden has the largest collection of in the world and is one of the most visited public gardens in the United States. The Chicago Horticulture Society was founded in 1890, and was formed to recognize the flower and horticulture shows and support and improve the parks in the city of Chicago. After a period of inactivity, the Society was once again restarted in 1943. In 1963 the society was granted 300 acres of forest land on the outside of the city, it was then the Chicago Botanic Garden was born.Groundbreaking of the Garden was in 1965, and the doors were opened in 1972. Since that time, the mission of the garden has been focused on three factors; education, collections and research. From its very inception, the Garden has employed leading landscape architects such as John O. Simonds and Geoffrey Rausch.The Garden has since been expanded to cover 385 acres and has 23 display gardens and 3 native habitats. The garden has been designed so that no matter what season it may be, there is always something blooming. There are waterways, ponds, special events, exhibits and tram tours for visitors who want to view the gardens in comfort.In the Aquatic Garden, guests can view water lilies, lotus flowers and over the hill is the Bulb Garden. In the Bulb Garden guests can view tulips, narcissus, ornamental onions and other flowering plants. In 2000, the city of Chicago unveiled a donation of 19 different bonsai trees received from master Japanese bonsai master, Susumu Nakamura. The gift boosted the Gardens collection of bonsai trees to over 185 in total, making it the most formidable public collections in the world.The Circle Garden is a display garden that contains blooming annuals that are changed out with each season. Named for its circle shaped boundaries, this portion of the park contains a dancing fountain along with two private gardens off to the side. The Crescent was designed by architect Dan Kiley, which merges traditional with modern. There are bold displays of plants in the center of the garden and hundreds of evergreen boxwoods which are at various heights and tiers. Along the brick pathway, guests then venture into the Heritage Garden. The Heritage Gardens are designed in the traditional style of Italian botanical gardens and contains fourteen plant beds with flowers that are grouped according to their scientific classification.  In the middle of the garden, there is a meditation fountain with medicinal plants from all over the world planted around it.There are also several other gardens contained on the grounds such as the; Greenhouses, Lakeside Gardens, McDonald Woods, Native Plant Garden, a Rose and Sculpture Garden and several other areas to explore. The Botanic Garden also has a library, Adult Education Center, After School and Summer Camp programs, Pre-K to 8th grade plant education classes, a Community Gardening and Horticulture Therapy program as well. Guests are invited to tour and explore everything the park has to offer and experience the ever changing beauty of nature in its finest setting."
